ts_ns,exchange,feed,source_engine_ts_ns,source_system_ts_ns,price,direction,event_type,client_order_id,side,size,reference_source,reference_ts_ns,reference_price,quote_internal_us,cancel_internal_us,quote_external_us,cancel_external_us,sent_ts_ns
1760671602388722112,binance,trade,1760671602381000000,1760671602387000000,0.09850132,buy,market,,,,,,,,,,,
1760671602393665385,gate,bbo,1760671602392000000,1760671602393000000,0.09844500,,market,,,,,,,,,,,
1760671602385380567,gate,trade,1760671602384000000,1760671602385000000,0.09847000,buy,market,,,,,,,,,,,
1760671602399865620,bybit,orderbook,1760671602361000000,1760671602364000000,0.09839014,,market,,,,,,,,,,,
1760671602405613121,binance,bbo,1760671602404000000,1760671602404000000,0.09845585,,market,,,,,,,,,,,
1760671602414761874,gate,bbo,1760671602413000000,1760671602414000000,0.09844500,,market,,,,,,,,,,,
1760671602420067973,bybit,orderbook,1760671602381000000,1760671602384000000,0.09839135,,market,,,,,,,,,,,
1760671602429742069,bybit,bbo,1760671602393000000,1760671602394000000,0.09840135,,market,,,,,,,,,,,
1760671602430833384,gate,bbo,1760671602430000000,1760671602430000000,0.09844500,,market,,,,,,,,,,,
1760671602431441037,bitget,trade,1760671602421000000,1760671602429000000,0.09843534,sell,market,,,,,,,,,,,
1760671602439731821,bybit,orderbook,1760671602398000000,1760671602404000000,0.09840135,,market,,,,,,,,,,,
1760671602449558782,bybit,bbo,1760671602412000000,1760671602414000000,0.09845635,,market,,,,,,,,,,,
1760671602453285718,bybit,trade,1760671602416000000,1760671602417000000,0.09850635,buy,market,,,,,,,,,,,
1760671602457515333,binance,bbo,1760671602456000000,1760671602456000000,0.09848067,,market,,,,,,,,,,,
1760671602459941736,bybit,orderbook,1760671602422000000,1760671602425000000,0.09851359,,market,,,,,,,,,,,
1760671602469605965,bybit,bbo,1760671602433000000,1760671602434000000,0.09853859,,market,,,,,,,,,,,
1760671602476267122,bybit,trade,1760671602439000000,1760671602440000000,0.09849359,sell,market,,,,,,,,,,,
1760671602477477407,binance,bbo,1760671602476000000,1760671602476000000,0.09848040,,market,,,,,,,,,,,
1760671602471072943,gate,bbo,1760671602470000000,1760671602470000000,0.09847500,,market,,,,,,,,,,,
1760671602468651810,bitget,orderbook,1760671602466000000,1760671602358000000,0.09847533,,market,,,,,,,,,,,
1760671602468651810,bitget,bbo,1760671602466000000,1760671602466000000,0.09851583,,market,,,,,,,,,,,
1760671602489636913,bybit,bbo,1760671602452000000,1760671602454000000,0.09847829,,market,,,,,,,,,,,
1760671602480527952,binance,bbo,1760671602478000000,1760671602479000000,0.09848031,,market,,,,,,,,,,,
