ts_ns,exchange,feed,price,direction,event_type,client_order_id,side,size,reference_source,reference_ts_ns,reference_price,quote_internal_us,cancel_internal_us,quote_external_us,cancel_external_us,sent_ts_ns
1760021280023000000,bybit,bbo,0.24374557,,market,,,,,,,,,,,
1760021279993000000,binance,bbo,0.24375747,,market,,,,,,,,,,,
1760021279986000000,gate,bbo,0.24371500,,market,,,,,,,,,,,
1760021279985518000,bitget,orderbook,0.24369826,,market,,,,,,,,,,,
1760021279998000000,bitget,bbo,0.24369826,,market,,,,,,,,,,,
1760021280000600000,bybit,orderbook,0.24374543,,market,,,,,,,,,,,
1760021280043000000,bybit,bbo,0.24374543,,market,,,,,,,,,,,
1760021280009000000,binance,bbo,0.24375728,,market,,,,,,,,,,,
1760021280011000000,gate,bbo,0.24371500,,market,,,,,,,,,,,
1760021279996234000,bitget,orderbook,0.24369833,,market,,,,,,,,,,,
1760021280019000000,bitget,bbo,0.24369833,,market,,,,,,,,,,,
1760021280022132000,bybit,orderbook,0.24374530,,market,,,,,,,,,,,
1760021280054000000,bybit,trade,0.24375030,buy,market,,,,,,,,,,,
1760021280034000000,binance,bbo,0.24375710,,market,,,,,,,,,,,
1760021280023000000,gate,bbo,0.24371500,,market,,,,,,,,,,,
1760021280017108000,bitget,orderbook,0.24369841,,market,,,,,,,,,,,
1760021280039000000,bitget,bbo,0.24369841,,market,,,,,,,,,,,
1760021280042695000,bybit,orderbook,0.24374517,,market,,,,,,,,,,,
1760021280086000000,bybit,bbo,0.24374517,,market,,,,,,,,,,,
1760021280053000000,binance,bbo,0.24375692,,market,,,,,,,,,,,
1760021280046000000,gate,bbo,0.24371500,,market,,,,,,,,,,,
1760021280038115000,bitget,orderbook,0.24369848,,market,,,,,,,,,,,
1760021280059000000,bitget,bbo,0.24369848,,market,,,,,,,,,,,
1760021280061290000,bybit,orderbook,0.24374506,,market,,,,,,,,,,,
1760021280093000000,bybit,bbo,0.24374506,,market,,,,,,,,,,,
1760021280069000000,binance,bbo,0.24375676,,market,,,,,,,,,,,
1760021279935000000,binance,trade,0.24375176,sell,market,,,,,,,,,,,
1760021280064000000,gate,bbo,0.24372000,,market,,,,,,,,,,,
